period,agency,record,record_label,approp,allot_ps,allot_mode,allot_co,allot_tot,oblig_ps,oblig_mode,oblig_co,oblig_tot,uoblig_ps,uoblig_mode,uoblig_co,uoblig_tot,obligrate
2013_Q1,State Universities and Colleges,budget_curr,      Current Year Budget,35254686,25291354,6579856,3368000,35239210,5642580,1070309,55954,6768843,19648774,5509547,3312046,28470367,
2013_Q1,State Universities and Colleges,budget_agency,            Agency Specific Budget,32770703,22960778,6429449,3365000,32755227,5030591,967393,55348,6053332,17930187,5462056,3309652,26701895,
2013_Q1,State Universities and Colleges,budget_spf,            Special Purpose Funds,328342,174935,150407,3000,328342,159625,101266,606,261497,15310,49141,2394,66845,
2013_Q1,State Universities and Colleges,budget_automatic,            Automatic Appro,2155641,2155641,-,-,2155641,452364,1650,-,454014,1703277,-1650,-,1701627,
2013_Q1,State Universities and Colleges,contappro,     Continuing Appro,222178,-,194228,27950,222178,108,77685,5450,83243,-108,116543,22500,138935,
2013_Q1,State Universities and Colleges,contappro_end,            Unobligated Allotment as of 12/31/11,53885,-,53435,450,53885,-,53435,450,53885,-,-,-,-,
2013_Q1,State Universities and Colleges,contappro_fy,            Allotment Releases in FY 2012,168293,-,140793,27500,168293,108,24250,5000,29358,-108,116543,22500,138935,
2013_Q1,Department of Energy,budget,Department of Energy,4452564,312722,426596,90730,830048,75312,121724,10953,207989,237410,304872,79777,622059,0.2506
2013_Q1,Department of Energy,budget_curr,      Current Year Budget,4370836,312722,355821,79777,748320,75312,50949,-,126261,237410,304872,79777,622059,
2013_Q1,Department of Energy,budget_agency,            Agency Specific Budget,3254847,284760,330300,59777,674837,68229,49358,-,117587,216531,280942,59777,557250,
2013_Q1,Department of Energy,budget_spf,            Special Purpose Funds,20169,169,-,20000,20169,169,-,-,169,-,-,20000,20000,
2013_Q1,Department of Energy,budget_automatic,            Automatic Appro,1095820,27793,25521,-,53314,6914,1591,-,8505,20879,23930,-,44809,
2013_Q1,Department of Energy,contappro,     Continuing Appro,81728,-,70775,10953,81728,-,70775,10953,81728,-,-,-,-,
2013_Q1,Department of Energy,contappro_end,            Unobligated Allotment as of 12/31/11,81728,-,70775,10953,81728,-,70775,10953,81728,-,-,-,-,
2013_Q1,Department of Energy,contappro_fy,            Allotment Releases in FY 2012,-,-,-,-,-,-,-,-,-,-,-,-,-,
2013_Q1,Department of Environment and Natural Resources,budget,Department of Environment and Natural Resources,24219522,5989003,11388511,6103943,23481457,1495769,4069646,2279823,7845238,4493234,7318865,3824120,15636219,0.3341
2013_Q1,Department of Environment and Natural Resources,budget_curr,      Current Year Budget,23710185,5989003,11100115,5883002,22972120,1495769,3781250,2058882,7335901,4493234,7318865,3824120,15636219,
2013_Q1,Department of Environment and Natural Resources,budget_agency,            Agency Specific Budget,23135850,5475158,11099784,5883002,22457944,1354845,3780919,2058882,7194646,4120313,7318865,3824120,15263298,
2013_Q1,Department of Environment and Natural Resources,budget_spf,            Special Purpose Funds,26044,26044,-,-,26044,27788,-,-,27788,-1744,-,-,-1744,
2013_Q1,Department of Environment and Natural Resources,budget_automatic,            Automatic Appro,548291,487801,331,-,488132,113136,331,-,113467,374665,-,-,374665,
2013_Q1,Department of Environment and Natural Resources,contappro,     Continuing Appro,509337,-,288396,220941,509337,-,288396,220941,509337,-,-,-,-,
2013_Q1,Department of Environment and Natural Resources,contappro_end,            Unobligated Allotment as of 12/31/11,509337,-,288396,220941,509337,-,288396,220941,509337,-,-,-,-,
2013_Q1,Department of Environment and Natural Resources,contappro_fy,            Allotment Releases in FY 2012,-,-,-,-,-,-,-,-,-,-,-,-,-,
2013_Q1,Department of Finance,budget,Department of Finance,32973706,6522774,6554375,2143039,15220188,587057,269241,17793,874091,5935717,6285134,2125246,14346097,0.0574
2013_Q1,Department of Finance,budget_curr,      Current Year Budget,32910364,6522774,6491419,2142653,15156846,587057,215765,17407,820229,5935717,6275654,2125246,14336617,
2013_Q1,Department of Finance,budget_agency,            Agency Specific Budget,11753939,5849288,4719577,868858,11437723,454629,215749,17407,687785,5394659,4503828,851451,10749938,
2013_Q1,Department of Finance,budget_spf,            Special Purpose Funds,1358248,56703,27750,1273795,1358248,22117,-,-,22117,34586,27750,1273795,1336131,
2013_Q1,Department of Finance,budget_automatic,            Automatic Appro,19798177,616783,1744092,-,2360875,110311,16,-,110327,506472,1744076,-,2250548,
2013_Q1,Department of Finance,contappro,     Continuing Appro,63342,-,62956,386,63342,-,53476,386,53862,-,9480,-,9480,
2013_Q1,Department of Finance,contappro_end,            Unobligated Allotment as of 12/31/11,53862,-,53476,386,53862,-,53476,386,53862,-,-,-,-,
2013_Q1,Department of Finance,contappro_fy,            Allotment Releases in FY 2012,9480,-,9480,-,9480,-,-,-,-,-,9480,-,9480,
2013_Q1,Department of Foreign Affairs,budget,Department of Foreign Affairs,13386415,5732913,6452474,718739,12904126,1280377,1294591,154766,2729734,4452536,5157883,563973,10174392,0.2115
2013_Q1,Department of Foreign Affairs,budget_curr,      Current Year Budget,12924044,5732913,6297418,411424,12441755,1280377,1294368,154704,2729449,4452536,5003050,256720,9712306,
2013_Q1,Department of Foreign Affairs,budget_agency,            Agency Specific Budget,11613793,5615013,5105067,411424,11131504,1237123,792346,154704,2184173,4377890,4312721,256720,8947331,
2013_Q1,Department of Foreign Affairs,budget_spf,            Special Purpose Funds,1211610,19259,1192351,-,1211610,19259,502022,-,521281,-,690329,-,690329,
2013_Q1,Department of Foreign Affairs,budget_automatic,            Automatic Appro,98641,98641,-,-,98641,23995,-,-,23995,74646,-,-,74646,
2013_Q1,Department of Foreign Affairs,contappro,     Continuing Appro,462371,-,155056,307315,462371,-,223,62,285,-,154833,307253,462086,
2013_Q1,Department of Foreign Affairs,contappro_end,            Unobligated Allotment as of 12/31/11,285,-,223,62,285,-,223,62,285,-,-,-,-,
2013_Q1,Department of Foreign Affairs,contappro_fy,            Allotment Releases in FY 2012,462086,-,154833,307253,462086,-,-,-,-,-,154833,307253,462086,
2013_Q1,Department of Health,budget,Department of Health,52194467,9898157,18528571,11097783,39524511,2435927,3315445,1865971,7617343,7462230,15213126,9231812,31907168,
2013_Q1,Department of Health,budget_curr,      Current Year Budget,51074586,9008972,18320966,11097783,38427721,2156137,3261229,1865971,7283337,6852835,15059737,9231812,31144384,
2013_Q1,Department of Health,budget_agency,            Agency Specific Budget,279631,78100,201531,-,279631,87581,54216,-,141797,-9481,147315,-,137834,
2013_Q1,Department of Health,budget_spf,            Special Purpose Funds,840250,811085,6074,-,817159,192209,-,-,192209,618876,6074,-,624950,
2013_Q1,Department of Health,budget_automatic,            Automatic Appro,175952,-,165018,10934,175952,-,559827,365509,925336,-,-394809,-354575,-749384,
2013_Q1,Department of Health,contappro,     Continuing Appro,-,-,-,-,-,-,-,-,-,-,-,-,-,
2013_Q1,Department of Health,contappro_end,            Unobligated Allotment as of 12/31/11,175952,-,165018,10934,175952,-,559827,365509,925336,-,-394809,-354575,-749384,
2013_Q1,Department of Health,contappro_fy,            Allotment Releases in FY 2012,,,,,,,,,,,,,,
2013_Q1,Department of the Interior and Local Government,budget,Department of the Interior and Local Government,100675237,80558935,14215718,592401,95367054,25447637,2417126,42958,27907721,55111298,11798592,549443,67459333,0.2926
2013_Q1,Department of the Interior and Local Government,budget_curr,      Current Year Budget,100535245,80532765,14124080,570217,95227062,25447637,2301799,39458,27788894,55085128,11822281,530759,67438168,
2013_Q1,Department of the Interior and Local Government,budget_agency,            Agency Specific Budget,91164442,71983330,14113132,559797,86656259,17447647,2301799,39458,19788904,54535683,11811333,520339,66867355,
2013_Q1,Department of the Interior and Local Government,budget_spf,            Special Purpose Funds,8188296,8166928,10948,10420,8188296,7962645,-,-,7962645,204283,10948,10420,225651,
2013_Q1,Department of the Interior and Local Government,budget_automatic,            Automatic Appro,1182507,382507,-,-,382507,37345,-,-,37345,345162,-,-,345162,
2013_Q1,Department of the Interior and Local Government,contappro,     Continuing Appro,139992,26170,91638,22184,139992,-,115327,3500,118827,26170,-23689,18684,21165,
2013_Q1,Department of the Interior and Local Government,contappro_end,            Unobligated Allotment as of 12/31/11,118801,26170,89131,3500,118801,-,115301,3500,118801,26170,-26170,-,-,
2013_Q1,Department of the Interior and Local Government,contappro_fy,            Allotment Releases in FY 2012,21191,-,2507,18684,21191,-,26,-,26,-,2481,18684,21165,
2013_Q1,Department of Justice,budget,Department of Justice,11171234,8042628,2798369,236350,11077347,1970170,661478,11153,2642801,6072458,2136891,225197,8434546,0.2386
2013_Q1,Department of Justice,budget_curr,      Current Year Budget,10979490,8042628,2664003,178972,10885603,1962339,568943,175,2531457,6080289,2095060,178797,8354146,
2013_Q1,Department of Justice,budget_agency,            Agency Specific Budget,10193420,7516263,2599127,178972,10294362,1774539,506727,175,2281441,5741724,2092400,178797,8012921,
2013_Q1,Department of Justice,budget_spf,            Special Purpose Funds,88900,88900,-,-,88900,82912,-,-,82912,5988,-,-,5988,
2013_Q1,Department of Justice,budget_automatic,            Automatic Appro,697170,437465,64876,-,502341,104888,62216,-,167104,332577,2660,-,335237,
2013_Q1,Department of Justice,contappro,     Continuing Appro,191744,-,134366,57378,191744,7831,92535,10978,111344,-7831,41831,46400,80400,
2013_Q1,Department of Justice,contappro_end,            Unobligated Allotment as of 12/31/11,111344,-,100366,10978,111344,7831,92535,10978,111344,-7831,7831,-,-,
2013_Q1,Department of Justice,contappro_fy,            Allotment Releases in FY 2012,80400,-,34000,46400,80400,-,-,-,-,-,34000,46400,80400,
2013_Q1,Department of Labor and Employment,budget,Department of Labor and Employment,8628536,4012872,4275182,339970,8628024,624254,481816,50816,1174886,3370618,3793366,289154,7453138,0.1362
2013_Q1,Department of Labor and Employment,budget_curr,      Current Year Budget,8379721,4012872,4048274,318063,8379209,641806,451474,33965,1127245,3371066,3596800,284098,7251964,
2013_Q1,Department of Labor and Employment,budget_agency,            Agency Specific Budget,7834074,3567190,3948899,317473,7833562,535675,449698,33965,1019338,3031515,3499201,283508,6814224,
2013_Q1,Department of Labor and Employment,budget_spf,            Special Purpose Funds,248710,149335,99375,-,248710,63205,-,-,63205,86130,99375,-,185505,
2013_Q1,Department of Labor and Employment,budget_automatic,            Automatic Appro,296937,296347,-,590,296937,42926,1776,-,44702,253421,-1776,590,252235,
2013_Q1,Department of Labor and Employment,contappro,     Continuing Appro,248815,-,226908,21907,248815,448,30342,16851,47641,-448,196566,5056,201174,
2013_Q1,Department of Labor and Employment,contappro_end,            Unobligated Allotment as of 12/31/11,23637,-,6950,16687,23637,448,6502,16687,23637,-448,448,-,-,
2013_Q1,Department of Labor and Employment,contappro_fy,            Allotment Releases in FY 2012,225178,-,219958,5220,225178,-,23840,164,24004,-,196118,5056,201174,
2013_Q1,Department of National Defense,budget,Department of National Defense,103829252,69439089,19990450,9271065,98700604,28144110,3768334,49141,31961585,41294979,16222116,9221924,66739019,0.3238
2013_Q1,Department of National Defense,budget_curr,      Current Year Budget,103627866,69439089,19820488,9239641,98499218,28144110,3603128,26103,31773341,41294979,16217360,9213538,66725877,
2013_Q1,Department of National Defense,budget_agency,            Agency Specific Budget,"80,420,311,",55143916,19719637,428110,75291663,14077411,3600995,26103,17704509,41066505,16118642,402007,57587154,
2013_Q1,Department of National Defense,budget_spf,            Special Purpose Funds,14109383,14103383,6000,-,14109383,14019222,-,-,14019222,84161,6000,-,90161,
2013_Q1,Department of National Defense,budget_automatic,            Automatic Appro,9098172,191790,94851,8811531,9098172,47477,2133,-,49610,144313,92718,8811531,9048562,
2013_Q1,Department of National Defense,contappro,     Continuing Appro,201386,-,169962,31424,201386,-,165206,23038,188244,-,4756,8386,13142,
2013_Q1,Department of National Defense,contappro_end,            Unobligated Allotment as of 12/31/11,188244,-,165206,23038,188244,-,165206,23038,188244,-,-,-,-,
2013_Q1,Department of National Defense,contappro_fy,            Allotment Releases in FY 2012,13142,-,4756,8386,13142,-,-,-,-,-,4756,8386,13142,
2013_Q1,Department of Public Works and Highway,budget,Department of Public Works and Highway,199890475,5035316,10624760,158887919,174547995,1348703,2063072,85047772,88459547,3686613,8561688,73840147,86088448,0.5068
2013_Q1,Department of Public Works and Highway,budget_curr,      Current Year Budget,175057470,5035316,6543960,138135714,149714990,1348703,606241,69204017,71158961,3686613,5937719,68931697,78556029,
2013_Q1,Department of Public Works and Highway,budget_agency,            Agency Specific Budget,155517533,4163189,6365707,129943014,140471910,1181541,606241,67426278,69214060,2981648,5759466,62516736,71257850,
2013_Q1,Department of Public Works and Highway,budget_spf,            Special Purpose Funds,5730583,432533,-,5298050,5730583,64280,-,1777739,1842019,368253,-,3520311,3888564,
2013_Q1,Department of Public Works and Highway,budget_automatic,            Automatic Appro,13809354,439594,178253,2894650,3512497,102882,-,-,102882,336712,178253,2894650,3409615,
2013_Q1,Department of Public Works and Highway,contappro,     Continuing Appro,24833005,-,4080800,20752205,24833005,-,1456831,15843755,17300586,-,2623969,4908450,7532419,
2013_Q1,Department of Public Works and Highway,contappro_end,            Unobligated Allotment as of 12/31/11,17300586,-,4080800,13219786,17300586,-,1546831,15843755,17300586,-,2623969,-2623969,-,
2013_Q1,Department of Public Works and Highway,contappro_fy,            Allotment Releases in FY 2012,7523419,-,-,7532419,7532419,-,-,-,-,-,-,7532419,7532419,
2013_Q1,Department of Science and Technology,budget,Department of Science and Technology,10416303,2185071,6909707,1313725,10408503,703869,1762636,405146,2871651,1481202,5147071,908579,7536852,0.2759
2013_Q1,Department of Science and Technology,budget_curr,      Current Year Budget,10115087,2185071,6824565,1097651,10107287,703869,1677494,189072,2570435,1481202,5147071,908579,7536852,
2013_Q1,Department of Science and Technology,budget_agency,            Agency Specific Budget,9915265,1985249,6824565,1097651,9907465,617954,1664631,188618,2471203,1367295,5159934,909033,7436262,
2013_Q1,Department of Science and Technology,budget_spf,            Special Purpose Funds,25285,25285,-,-,25285,29547,12863,-,42410,-4262,-12863,-,-17125,
2013_Q1,Department of Science and Technology,budget_automatic,            Automatic Appro,174537,174537,-,-,174537,56368,-,454,56822,118169,-,-454,117715,
2013_Q1,Department of Science and Technology,contappro,     Continuing Appro,310216,-,85142,216074,301216,-,85142,216074,301216,-,-,-,-,
2013_Q1,Department of Science and Technology,contappro_end,            Unobligated Allotment as of 12/31/11,301216,-,85142,216074,301216,-,85142,216074,301216,-,-,-,-,
2013_Q1,Department of Science and Technology,contappro_fy,            Allotment Releases in FY 2012,-,-,-,-,-,-,-,-,-,-,-,-,-,
2013_Q1,Department of Social Welfare and Develpment,budget,Department of Social Welfare and Develpment,59513031,1172416,57430087,177691,58780194,281678,12388719,15280,12685677,890738,45041368,162411,46094517,0.2158
2013_Q1,Department of Social Welfare and Develpment,budget_curr,      Current Year Budget,56834198,1172416,54922086,6859,56101361,281539,10062890,1448,10345877,890877,44859196,5411,45755484,
2013_Q1,Department of Social Welfare and Develpment,budget_agency,            Agency Specific Budget,56333858,1077638,54516860,4942,55599440,256205,9987627,1448,10245280,821433,44529233,3494,45354160,
2013_Q1,Department of Social Welfare and Develpment,budget_spf,            Special Purpose Funds,353672,3554,350118,-,353672,3049,75263,-,78312,505,274855,-,275360,
2013_Q1,Department of Social Welfare and Develpment,budget_automatic,            Automatic Appro,146668,91224,55108,1917,148249,22285,-,-,22285,68939,55108,1917,125964,
2013_Q1,Department of Social Welfare and Develpment,contappro,     Continuing Appro,2678833,-,2508001,170832,2678833,139,2325829,13832,2339800,139,182172,157000,339033,
2013_Q1,Department of Social Welfare and Develpment,contappro_end,            Unobligated Allotment as of 12/31/11,2339800,-,2325968,13832,2339800,139,2325829,13832,2339800,-139,139,-,-,
2013_Q1,Department of Social Welfare and Develpment,contappro_fy,            Allotment Releases in FY 2012,339033,-,182033,157000,339033,-,-,-,-,-,182033,157000,339033,
2013_Q1,Department of Tourism,budget,Department of Tourism,2817800,359862,2283776,171549,2815187,92773,660433,122977,876183,267089,1623343,48572,1939004,0.3112
2013_Q1,Department of Tourism,budget_curr,      Current Year Budget,2813167,359862,2279143,171549,2810554,92773,655800,122977,871550,267089,1623343,48572,1939004,
2013_Q1,Department of Tourism,budget_agency,            Agency Specific Budget,2783546,332854,2279143,171549,2783546,86466,655800,122977,865243,246388,1623343,48572,1918303,
2013_Q1,Department of Tourism,budget_spf,            Special Purpose Funds,-,-,,-,-,-,-,-,-,-,-,-,-,
2013_Q1,Department of Tourism,budget_automatic,            Automatic Appro,29621,27008,-,-,27008,6307,-,-,6307,20701,-,-,20701,
2013_Q1,Department of Tourism,contappro,     Continuing Appro,4633,-,4633,-,4633,-,4633,-,4633,-,-,-,-,
2013_Q1,Department of Tourism,contappro_end,            Unobligated Allotment as of 12/31/11,4633,-,4633,-,4633,-,4633,-,4633,-,-,-,-,
2013_Q1,Department of Tourism,contappro_fy,            Allotment Releases in FY 2012,-,-,-,-,-,-,-,-,-,-,-,-,-,
2013_Q1,Department of Trade and Industry,budget,Department of Trade and Industry,3908891,1343324,1723896,742671,3809891,332719,456456,1907,791082,1010605,1267440,740764,3018809,0.2076
2013_Q1,Department of Trade and Industry,budget_curr,      Current Year Budget,3870753,1343324,1687567,740862,3771753,332719,423427,98,756244,1010605,1264140,740764,3015509,
2013_Q1,Department of Trade and Industry,budget_agency,            Agency Specific Budget,3651510,1238481,1672167,740862,3651510,306298,423427,98,729823,932183,1248740,740764,2921687,
2013_Q1,Department of Trade and Industry,budget_spf,            Special Purpose Funds,20084,4684,15400,-,20084,3451,-,-,3451,1233,15400,-,16633,
2013_Q1,Department of Trade and Industry,budget_automatic,            Automatic Appro,199159,100159,-,-,100159,22970,-,-,22970,77189,-,-,77189,
2013_Q1,Department of Trade and Industry,contappro,     Continuing Appro,38138,-,36329,1809,38138,-,33029,1809,34838,-,3300,-,3300,
2013_Q1,Department of Trade and Industry,contappro_end,            Unobligated Allotment as of 12/31/11,34838,-,33029,1809,34838,-,33029,1809,34838,-,-,-,-,
2013_Q1,Department of Trade and Industry,contappro_fy,            Allotment Releases in FY 2012,3300,-,3300,-,3300,-,-,-,-,-,3300,-,3300,
2013_Q1,Department of Transportation and Communications,budget,Department of Transportation and Communications,38827905,4597592,11072863,18126940,33797395,1023863,1996653,16995,3037511,3573729,9076210,18109945,30759884,0.0899
2013_Q1,Department of Transportation and Communications,budget_curr,      Current Year Budget,36095554,4597592,10239564,16227888,31065044,1023863,1268027,7943,2299833,3573729,8971537,16219945,28765211,
2013_Q1,Department of Transportation and Communications,budget_agency,            Agency Specific Budget,34185121,3844100,9962198,16127888,29934186,899673,1149289,7943,2056905,2944427,8812909,16119945,27877281,
2013_Q1,Department of Transportation and Communications,budget_spf,            Special Purpose Funds,347639,347639,-,-,347639,42311,-,-,42311,305328,-,-,305328,
2013_Q1,Department of Transportation and Communications,budget_automatic,            Automatic Appro,1562794,405853,277366,100000,783219,81879,118738,-,200617,323947,158628,100000,582602,
2013_Q1,Department of Transportation and Communications,contappro,     Continuing Appro,2732351,-,833299,1899052,2732351,-,728626,9052,737678,-,104673,1890000,1994673,
2013_Q1,Department of Transportation and Communications,contappro_end,            Unobligated Allotment as of 12/31/11,737678,-,728626,9052,737678,-,728626,9052,737678,-,-,-,-,
2013_Q1,Department of Transportation and Communications,contappro_fy,            Allotment Releases in FY 2012,1994673,-,104673,1890000,1994673,-,-,-,-,-,"104,673-",1890000,1994673,
